,Content,Sentiment,Label,caseFold,PuncRev,review_token,stopwords_removal,stemming
1713,Saya suka...,positif,1,saya suka...,saya suka ,"['saya', 'suka']",['suka'],['suka']
1714,Terima kasih,positif,1,terima kasih,terima kasih,"['terima', 'kasih']","['terima', 'kasih']","['terima', 'kasih']"
1715,tolong minimal tarik non atm bisa 50rbu lagi,netral,0,tolong minimal tarik non atm bisa 50rbu lagi,tolong minimal tarik non atm bisa  rbu lagi,"['tolong', 'minimal', 'tarik', 'non', 'atm', 'bisa', 'rbu', 'lagi']","['tolong', 'minimal', 'tarik', 'non', 'atm', 'rbu']","['tolong', 'minimal', 'tarik', 'non', 'atm', 'rbu']"
1716,is easy,positif,1,is easy,is easy,"['is', 'easy']","['is', 'easy']","['is', 'easy']"
1717,Top jos,positif,1,top jos,top jos,"['top', 'jos']","['top', 'jos']","['top', 'jos']"
1718,Alhamdulillah. Sesuai harapan,positif,1,alhamdulillah. sesuai harapan,alhamdulillah  sesuai harapan,"['alhamdulillah', 'sesuai', 'harapan']","['alhamdulillah', 'sesuai', 'harapan']","['alhamdulillah', 'sesuai', 'harap']"
1719,Bagus sekali UI UX dan nyaman digunakan,positif,1,bagus sekali ui ux dan nyaman digunakan,bagus sekali ui ux dan nyaman digunakan,"['bagus', 'sekali', 'ui', 'ux', 'dan', 'nyaman', 'digunakan']","['bagus', 'ui', 'ux', 'nyaman']","['bagus', 'ui', 'ux', 'nyaman']"
1720,saat login/ dlm aplikasi sering sekali tiba-tiba bug forceclose dan sekarang semakin parah . tidak bisa transaksi samasekali,negatif,-1,saat login/ dlm aplikasi sering sekali tiba-tiba bug forceclose dan sekarang semakin parah . tidak bisa transaksi samasekali,saat login  dlm aplikasi sering sekali tiba tiba bug forceclose dan sekarang semakin parah   tidak bisa transaksi samasekali,"['saat', 'login', 'dlm', 'aplikasi', 'sering', 'sekali', 'tiba', 'tiba', 'bug', 'forceclose', 'dan', 'sekarang', 'semakin', 'parah', 'tidak', 'bisa', 'transaksi', 'samasekali']","['login', 'dlm', 'aplikasi', 'bug', 'forceclose', 'parah', 'transaksi', 'samasekali']","['login', 'dlm', 'aplikasi', 'bug', 'forceclose', 'parah', 'transaksi', 'samasekali']"
1721,"OCTO Mobile emang kaga bikin ribet!! Smua jd mudah,, Tks OCTO Mobile ðŸ¤ðŸ‘ðŸ™,,",positif,1,"octo mobile emang kaga bikin ribet!! smua jd mudah,, tks octo mobile ðÿ¤ðÿ‘ðÿ™,,",octo mobile emang kaga bikin ribet  smua jd mudah  tks octo mobile  ,"['octo', 'mobile', 'emang', 'kaga', 'bikin', 'ribet', 'smua', 'jd', 'mudah', 'tks', 'octo', 'mobile']","['octo', 'mobile', 'emang', 'kaga', 'bikin', 'ribet', 'smua', 'jd', 'mudah', 'tks', 'octo', 'mobile']","['octo', 'mobile', 'emang', 'kaga', 'bikin', 'ribet', 'smua', 'jd', 'mudah', 'tks', 'octo', 'mobile']"
1722,Ok,netral,0,ok,ok,['ok'],['ok'],['ok']
1723,Mntaap,positif,1,mntaap,mntaap,['mntaap'],['mntaap'],['mntaap']
1724,nyaman,positif,1,nyaman,nyaman,['nyaman'],['nyaman'],['nyaman']
1725,Semakin bagus,positif,1,semakin bagus,semakin bagus,"['semakin', 'bagus']",['bagus'],['bagus']
1726,Bagus lebih aman dan cepat,positif,1,bagus lebih aman dan cepat,bagus lebih aman dan cepat,"['bagus', 'lebih', 'aman', 'dan', 'cepat']","['bagus', 'aman', 'cepat']","['bagus', 'aman', 'cepat']"
1727,Mantulll,positif,1,mantulll,mantulll,['mantulll'],['mantulll'],['mantulll']
1728,Sangat bagus,positif,1,sangat bagus,sangat bagus,"['sangat', 'bagus']",['bagus'],['bagus']
1729,ga dibenerin apa ini apk keluar keluar mulu dah,negatif,-1,ga dibenerin apa ini apk keluar keluar mulu dah,ga dibenerin apa ini apk keluar keluar mulu dah,"['ga', 'dibenerin', 'apa', 'ini', 'apk', 'keluar', 'keluar', 'mulu', 'dah']","['ga', 'dibenerin', 'apk', 'mulu', 'dah']","['ga', 'dibenerin', 'apk', 'mulu', 'dah']"
1730,PARAAAAH,negatif,-1,paraaaah,paraaaah,['paraaaah'],['paraaaah'],['paraaaah']
1731,"Mudah, sangat membantu, bisa buat semuanya. Kerenn",positif,1,"mudah, sangat membantu, bisa buat semuanya. kerenn",mudah  sangat membantu  bisa buat semuanya  kerenn,"['mudah', 'sangat', 'membantu', 'bisa', 'buat', 'semuanya', 'kerenn']","['mudah', 'membantu', 'kerenn']","['mudah', 'bantu', 'kerenn']"
1732,Tambahin promo,netral,0,tambahin promo,tambahin promo,"['tambahin', 'promo']","['tambahin', 'promo']","['tambahin', 'promo']"
1733,"saya tdk pernah ada masalah di apk ini, kenapa yg lain bnyk masalah dengan memberikan bintang 1...",positif,1,"saya tdk pernah ada masalah di apk ini, kenapa yg lain bnyk masalah dengan memberikan bintang 1...",saya tdk pernah ada masalah di apk ini  kenapa yg lain bnyk masalah dengan memberikan bintang  ,"['saya', 'tdk', 'pernah', 'ada', 'masalah', 'di', 'apk', 'ini', 'kenapa', 'yg', 'lain', 'bnyk', 'masalah', 'dengan', 'memberikan', 'bintang']","['tdk', 'apk', 'yg', 'bnyk', 'bintang']","['tdk', 'apk', 'yg', 'bnyk', 'bintang']"
1734,Kemudahan bertransaksi,positif,1,kemudahan bertransaksi,kemudahan bertransaksi,"['kemudahan', 'bertransaksi']","['kemudahan', 'bertransaksi']","['mudah', 'transaksi']"
1735,"Even from the very first time verification, it took long time to fill in the data. It took much provider credit (pulsa) also to get the code and stuff. It said that my mobile phone number is not the same as the registered one. After reseting the password or PIN it won't work. The customer service from the bank also couldn't help much. They said ""harusnya bisa"". Hey, I can say that too, lady.. ðŸ‘ŽðŸ½ðŸ‘ŽðŸ½ðŸ‘ŽðŸ½ðŸ‘ŽðŸ½ðŸ‘ŽðŸ½ðŸ‘ŽðŸ½ðŸ‘ŽðŸ½ðŸ‘ŽðŸ½ðŸ‘ŽðŸ½ *no star*",negatif,-1,"even from the very first time verification, it took long time to fill in the data. it took much provider credit (pulsa) also to get the code and stuff. it said that my mobile phone number is not the same as the registered one. after reseting the password or pin it won't work. the customer service from the bank also couldn't help much. they said ""harusnya bisa"". hey, i can say that too, lady.. ðÿ‘žðÿ½ðÿ‘žðÿ½ðÿ‘žðÿ½ðÿ‘žðÿ½ðÿ‘žðÿ½ðÿ‘žðÿ½ðÿ‘žðÿ½ðÿ‘žðÿ½ðÿ‘žðÿ½ *no star*",even from the very first time verification  it took long time to fill in the data  it took much provider credit  pulsa  also to get the code and stuff  it said that my mobile phone number is not the same as the registered one  after reseting the password or pin it won t work  the customer service from the bank also couldn t help much  they said  harusnya bisa  hey  i can say that too  lady     no star ,"['even', 'from', 'the', 'very', 'first', 'time', 'verification', 'it', 'took', 'long', 'time', 'to', 'fill', 'in', 'the', 'data', 'it', 'took', 'much', 'provider', 'credit', 'pulsa', 'also', 'to', 'get', 'the', 'code', 'and', 'stuff', 'it', 'said', 'that', 'my', 'mobile', 'phone', 'number', 'is', 'not', 'the', 'same', 'as', 'the', 'registered', 'one', 'after', 'reseting', 'the', 'password', 'or', 'pin', 'it', 'won', 't', 'work', 'the', 'customer', 'service', 'from', 'the', 'bank', 'also', 'couldn', 't', 'help', 'much', 'they', 'said', 'harusnya', 'bisa', 'hey', 'i', 'can', 'say', 'that', 'too', 'lady', 'no', 'star']","['even', 'from', 'the', 'very', 'first', 'time', 'verification', 'it', 'took', 'long', 'time', 'to', 'fill', 'in', 'the', 'data', 'it', 'took', 'much', 'provider', 'credit', 'pulsa', 'also', 'to', 'get', 'the', 'code', 'and', 'stuff', 'it', 'said', 'that', 'my', 'mobile', 'phone', 'number', 'is', 'not', 'the', 'same', 'as', 'the', 'registered', 'one', 'after', 'reseting', 'the', 'password', 'or', 'pin', 'it', 'won', 't', 'work', 'the', 'customer', 'service', 'from', 'the', 'bank', 'also', 'couldn', 't', 'help', 'much', 'they', 'said', 'hey', 'i', 'can', 'say', 'that', 'too', 'lady', 'no', 'star']","['even', 'from', 'the', 'very', 'first', 'time', 'verification', 'it', 'took', 'long', 'time', 'to', 'fill', 'in', 'the', 'data', 'it', 'took', 'much', 'provider', 'credit', 'pulsa', 'also', 'to', 'get', 'the', 'code', 'and', 'stuff', 'it', 'said', 'that', 'my', 'mobile', 'phone', 'number', 'is', 'not', 'the', 'same', 'as', 'the', 'registered', 'one', 'after', 'reseting', 'the', 'password', 'or', 'pin', 'it', 'won', 't', 'work', 'the', 'customer', 'service', 'from', 'the', 'bank', 'also', 'couldn', 't', 'help', 'much', 'they', 'said', 'hey', 'i', 'can', 'say', 'that', 'too', 'lady', 'no', 'star']"
1736,Mantab dari dulu.. pertahankan.,positif,1,mantab dari dulu.. pertahankan.,mantab dari dulu  pertahankan ,"['mantab', 'dari', 'dulu', 'pertahankan']","['mantab', 'pertahankan']","['mantab', 'tahan']"
1737,Asik bener,positif,1,asik bener,asik bener,"['asik', 'bener']","['asik', 'bener']","['asik', 'bener']"
1738,Mantapp,positif,1,mantapp,mantapp,['mantapp'],['mantapp'],['mantapp']
1739,"Baru buka rekening , trs pas mau login kode nya ga masuk masukk lah trs gmna inii",negatif,-1,"baru buka rekening , trs pas mau login kode nya ga masuk masukk lah trs gmna inii",baru buka rekening   trs pas mau login kode nya ga masuk masukk lah trs gmna inii,"['baru', 'buka', 'rekening', 'trs', 'pas', 'mau', 'login', 'kode', 'nya', 'ga', 'masuk', 'masukk', 'lah', 'trs', 'gmna', 'inii']","['buka', 'rekening', 'trs', 'pas', 'login', 'kode', 'nya', 'ga', 'masuk', 'masukk', 'trs', 'gmna', 'inii']","['buka', 'rekening', 'trs', 'pas', 'login', 'kode', 'nya', 'ga', 'masuk', 'masukk', 'trs', 'gmna', 'ini']"
1740,Oke banget ðŸ‘ðŸ‘ðŸ‘ðŸ˜€ðŸ˜€ðŸ˜€,positif,1,oke banget ðÿ‘ðÿ‘ðÿ‘ðÿ˜€ðÿ˜€ðÿ˜€,oke banget  ,"['oke', 'banget']","['oke', 'banget']","['oke', 'banget']"
1741,Ok...banget,positif,1,ok...banget,ok banget,"['ok', 'banget']","['ok', 'banget']","['ok', 'banget']"
1742,Error terus,negatif,-1,error terus,error terus,"['error', 'terus']",['error'],['error']
1743,Top,positif,1,top,top,['top'],['top'],['top']
1744,ðŸ‘ðŸ‘ðŸ‘,positif,1,ðÿ‘ðÿ‘ðÿ‘, ,[],[],[]
1745,Transfer sangat mudah,positif,1,transfer sangat mudah,transfer sangat mudah,"['transfer', 'sangat', 'mudah']","['transfer', 'mudah']","['transfer', 'mudah']"
1746,Good job,positif,1,good job,good job,"['good', 'job']","['good', 'job']","['good', 'job']"
1747,Sip niaga mantap,positif,1,sip niaga mantap,sip niaga mantap,"['sip', 'niaga', 'mantap']","['sip', 'niaga', 'mantap']","['sip', 'niaga', 'mantap']"
1748,"SANGAT BURUK, SERING NGEBUG",negatif,-1,"sangat buruk, sering ngebug",sangat buruk  sering ngebug,"['sangat', 'buruk', 'sering', 'ngebug']","['buruk', 'ngebug']","['buruk', 'ngebug']"
1749,Ka cara blokir data aku gmn aku di tipu sama orng suruh dwld ini tpi pke nomor sama email dia,negatif,-1,ka cara blokir data aku gmn aku di tipu sama orng suruh dwld ini tpi pke nomor sama email dia,ka cara blokir data aku gmn aku di tipu sama orng suruh dwld ini tpi pke nomor sama email dia,"['ka', 'cara', 'blokir', 'data', 'aku', 'gmn', 'aku', 'di', 'tipu', 'sama', 'orng', 'suruh', 'dwld', 'ini', 'tpi', 'pke', 'nomor', 'sama', 'email', 'dia']","['ka', 'blokir', 'data', 'gmn', 'tipu', 'orng', 'suruh', 'dwld', 'tpi', 'pke', 'nomor', 'email']","['ka', 'blokir', 'data', 'gmn', 'tipu', 'orng', 'suruh', 'dwld', 'tpi', 'pke', 'nomor', 'email']"
1750,"Ulalaaaa....aplikasi octo mobile ini keren banget, semua jadi segala mudah . Thanks octo ðŸ˜ðŸ¥°",positif,1,"ulalaaaa....aplikasi octo mobile ini keren banget, semua jadi segala mudah . thanks octo ðÿ˜ðÿ¥°",ulalaaaa aplikasi octo mobile ini keren banget  semua jadi segala mudah   thanks octo  ,"['ulalaaaa', 'aplikasi', 'octo', 'mobile', 'ini', 'keren', 'banget', 'semua', 'jadi', 'segala', 'mudah', 'thanks', 'octo']","['ulalaaaa', 'aplikasi', 'octo', 'mobile', 'keren', 'banget', 'mudah', 'thanks', 'octo']","['ulalaaaa', 'aplikasi', 'octo', 'mobile', 'keren', 'banget', 'mudah', 'thanks', 'octo']"
1751,Sangat membantu dn ceat,positif,1,sangat membantu dn ceat,sangat membantu dn ceat,"['sangat', 'membantu', 'dn', 'ceat']","['membantu', 'dn', 'ceat']","['bantu', 'dn', 'ceat']"
1752,Mantap,positif,1,mantap,mantap,['mantap'],['mantap'],['mantap']
1753,Ok sudah di perbaiki walaupun udh mengecewakan tapi saya respect untuk penanganan nya trimakasih Saya naikan bintang nya,positif,1,ok sudah di perbaiki walaupun udh mengecewakan tapi saya respect untuk penanganan nya trimakasih saya naikan bintang nya,ok sudah di perbaiki walaupun udh mengecewakan tapi saya respect untuk penanganan nya trimakasih saya naikan bintang nya,"['ok', 'sudah', 'di', 'perbaiki', 'walaupun', 'udh', 'mengecewakan', 'tapi', 'saya', 'respect', 'untuk', 'penanganan', 'nya', 'trimakasih', 'saya', 'naikan', 'bintang', 'nya']","['ok', 'perbaiki', 'udh', 'mengecewakan', 'respect', 'penanganan', 'nya', 'trimakasih', 'naikan', 'bintang', 'nya']","['ok', 'baik', 'udh', 'kecewa', 'respect', 'tangan', 'nya', 'trimakasih', 'naik', 'bintang', 'nya']"
1754,Terbaikkkk.....,positif,1,terbaikkkk.....,terbaikkkk ,['terbaikkkk'],['terbaikkkk'],['terbaikkkk']
1755,"Sudah bolak balik instal tetep juga gak bisa... Sudah Di @mail juga masih tidak bisa,, mohon penjelasan nya trimakasih",negatif,-1,"sudah bolak balik instal tetep juga gak bisa... sudah di @mail juga masih tidak bisa,, mohon penjelasan nya trimakasih",sudah bolak balik instal tetep juga gak bisa  sudah di  juga masih tidak bisa  mohon penjelasan nya trimakasih,"['sudah', 'bolak', 'balik', 'instal', 'tetep', 'juga', 'gak', 'bisa', 'sudah', 'di', 'juga', 'masih', 'tidak', 'bisa', 'mohon', 'penjelasan', 'nya', 'trimakasih']","['bolak', 'instal', 'tetep', 'gak', 'mohon', 'penjelasan', 'nya', 'trimakasih']","['bolak', 'instal', 'tetep', 'gak', 'mohon', 'jelas', 'nya', 'trimakasih']"
1756,mudah dipakai,positif,1,mudah dipakai,mudah dipakai,"['mudah', 'dipakai']","['mudah', 'dipakai']","['mudah', 'pakai']"
1757,Goood,positif,1,goood,goood,['goood'],['goood'],['goood']
1758,Mantul,positif,1,mantul,mantul,['mantul'],['mantul'],['mantul']
1759,Aplikasi susah untuk di install,negatif,-1,aplikasi susah untuk di install,aplikasi susah untuk di install,"['aplikasi', 'susah', 'untuk', 'di', 'install']","['aplikasi', 'susah', 'install']","['aplikasi', 'susah', 'install']"
1760,Aplikasi sangat kurang rekomendasi kalau saya kerja bukan ini rekening nya mah males sebenernya makai ini sering error masak saya transaksi di sini bi fast aja error malah masa kerja sampai 7 hari lagi lama banget sangat tidak rekomendasi pindah bank aja dah respon call center nya juga lama kurang profesional aneh jelek gak bagus Sempat deg degan alhamdulillah uang saya sudah kembali di hari berikutnya tetapi harus menelpon call center.... Alhamdulillah,negatif,-1,aplikasi sangat kurang rekomendasi kalau saya kerja bukan ini rekening nya mah males sebenernya makai ini sering error masak saya transaksi di sini bi fast aja error malah masa kerja sampai 7 hari lagi lama banget sangat tidak rekomendasi pindah bank aja dah respon call center nya juga lama kurang profesional aneh jelek gak bagus sempat deg degan alhamdulillah uang saya sudah kembali di hari berikutnya tetapi harus menelpon call center.... alhamdulillah,aplikasi sangat kurang rekomendasi kalau saya kerja bukan ini rekening nya mah males sebenernya makai ini sering error masak saya transaksi di sini bi fast aja error malah masa kerja sampai   hari lagi lama banget sangat tidak rekomendasi pindah bank aja dah respon call center nya juga lama kurang profesional aneh jelek gak bagus sempat deg degan alhamdulillah uang saya sudah kembali di hari berikutnya tetapi harus menelpon call center  alhamdulillah,"['aplikasi', 'sangat', 'kurang', 'rekomendasi', 'kalau', 'saya', 'kerja', 'bukan', 'ini', 'rekening', 'nya', 'mah', 'males', 'sebenernya', 'makai', 'ini', 'sering', 'error', 'masak', 'saya', 'transaksi', 'di', 'sini', 'bi', 'fast', 'aja', 'error', 'malah', 'masa', 'kerja', 'sampai', 'hari', 'lagi', 'lama', 'banget', 'sangat', 'tidak', 'rekomendasi', 'pindah', 'bank', 'aja', 'dah', 'respon', 'call', 'center', 'nya', 'juga', 'lama', 'kurang', 'profesional', 'aneh', 'jelek', 'gak', 'bagus', 'sempat', 'deg', 'degan', 'alhamdulillah', 'uang', 'saya', 'sudah', 'kembali', 'di', 'hari', 'berikutnya', 'tetapi', 'harus', 'menelpon', 'call', 'center', 'alhamdulillah']","['aplikasi', 'rekomendasi', 'kerja', 'rekening', 'nya', 'mah', 'males', 'sebenernya', 'makai', 'error', 'masak', 'transaksi', 'bi', 'fast', 'aja', 'error', 'kerja', 'banget', 'rekomendasi', 'pindah', 'bank', 'aja', 'dah', 'respon', 'call', 'center', 'nya', 'profesional', 'aneh', 'jelek', 'gak', 'bagus', 'deg', 'degan', 'alhamdulillah', 'uang', 'menelpon', 'call', 'center', 'alhamdulillah']","['aplikasi', 'rekomendasi', 'kerja', 'rekening', 'nya', 'mah', 'males', 'sebenernya', 'maka', 'error', 'masak', 'transaksi', 'bi', 'fast', 'aja', 'error', 'kerja', 'banget', 'rekomendasi', 'pindah', 'bank', 'aja', 'dah', 'respon', 'call', 'center', 'nya', 'profesional', 'aneh', 'jelek', 'gak', 'bagus', 'deg', 'degan', 'alhamdulillah', 'uang', 'telpon', 'call', 'center', 'alhamdulillah']"
1761,"Mantap, aplikasi keren ðŸ‘ðŸ‘ðŸ‘",positif,1,"mantap, aplikasi keren ðÿ‘ðÿ‘ðÿ‘",mantap  aplikasi keren  ,"['mantap', 'aplikasi', 'keren']","['mantap', 'aplikasi', 'keren']","['mantap', 'aplikasi', 'keren']"
1762,Semakin terdepan,positif,1,semakin terdepan,semakin terdepan,"['semakin', 'terdepan']",['terdepan'],['depan']
1763,Mudah,positif,1,mudah,mudah,['mudah'],['mudah'],['mudah']
1764,"Knp karyawan cimb suka memaksa, dan tidak punya sopan santun, bagaimn cara berhenti berlangganan cc cimb, saya sudah tidak nyaman d teror terus""an, padahal sudah menolak secara baik""",negatif,-1,"knp karyawan cimb suka memaksa, dan tidak punya sopan santun, bagaimn cara berhenti berlangganan cc cimb, saya sudah tidak nyaman d teror terus""an, padahal sudah menolak secara baik""",knp karyawan cimb suka memaksa  dan tidak punya sopan santun  bagaimn cara berhenti berlangganan cc cimb  saya sudah tidak nyaman d teror terus an  padahal sudah menolak secara baik ,"['knp', 'karyawan', 'cimb', 'suka', 'memaksa', 'dan', 'tidak', 'punya', 'sopan', 'santun', 'bagaimn', 'cara', 'berhenti', 'berlangganan', 'cc', 'cimb', 'saya', 'sudah', 'tidak', 'nyaman', 'd', 'teror', 'terus', 'an', 'padahal', 'sudah', 'menolak', 'secara', 'baik']","['knp', 'karyawan', 'cimb', 'suka', 'memaksa', 'sopan', 'santun', 'bagaimn', 'berhenti', 'berlangganan', 'cc', 'cimb', 'nyaman', 'd', 'teror', 'an', 'menolak']","['knp', 'karyawan', 'cimb', 'suka', 'paksa', 'sopan', 'santun', 'bagaimn', 'henti', 'langgan', 'cc', 'cimb', 'nyaman', 'd', 'teror', 'an', 'tolak']"
1765,"Aplikasi menyesatkan, bs tagihan beda dgn di aplikasi,,, kurang byr 108rb net kafala fee 51rb ga masuk akal",negatif,-1,"aplikasi menyesatkan, bs tagihan beda dgn di aplikasi,,, kurang byr 108rb net kafala fee 51rb ga masuk akal",aplikasi menyesatkan  bs tagihan beda dgn di aplikasi  kurang byr  rb net kafala fee  rb ga masuk akal,"['aplikasi', 'menyesatkan', 'bs', 'tagihan', 'beda', 'dgn', 'di', 'aplikasi', 'kurang', 'byr', 'rb', 'net', 'kafala', 'fee', 'rb', 'ga', 'masuk', 'akal']","['aplikasi', 'menyesatkan', 'bs', 'tagihan', 'beda', 'dgn', 'aplikasi', 'byr', 'rb', 'net', 'kafala', 'fee', 'rb', 'ga', 'masuk', 'akal']","['aplikasi', 'sesat', 'bs', 'tagih', 'beda', 'dgn', 'aplikasi', 'byr', 'rb', 'net', 'kafala', 'fee', 'rb', 'ga', 'masuk', 'akal']"
1766,ribet,negatif,-1,ribet,ribet,['ribet'],['ribet'],['ribet']
1767,Suka,positif,1,suka,suka,['suka'],['suka'],['suka']
1768,Ok,netral,0,ok,ok,['ok'],['ok'],['ok']
1769,"Punya nomor call center tapi ga guna, dalam antrian terus berhari-hari. Ada pegawainya ga sih?",negatif,-1,"punya nomor call center tapi ga guna, dalam antrian terus berhari-hari. ada pegawainya ga sih?",punya nomor call center tapi ga guna  dalam antrian terus berhari hari  ada pegawainya ga sih ,"['punya', 'nomor', 'call', 'center', 'tapi', 'ga', 'guna', 'dalam', 'antrian', 'terus', 'berhari', 'hari', 'ada', 'pegawainya', 'ga', 'sih']","['nomor', 'call', 'center', 'ga', 'antrian', 'berhari', 'pegawainya', 'ga', 'sih']","['nomor', 'call', 'center', 'ga', 'antri', 'hari', 'pegawai', 'ga', 'sih']"
1770,Oke,netral,0,oke,oke,['oke'],['oke'],['oke']
1771,mantap octomobile sangat membantu,positif,1,mantap octomobile sangat membantu,mantap octomobile sangat membantu,"['mantap', 'octomobile', 'sangat', 'membantu']","['mantap', 'octomobile', 'membantu']","['mantap', 'octomobile', 'bantu']"
1772,Good n exellent,positif,1,good n exellent,good n exellent,"['good', 'n', 'exellent']","['good', 'n', 'exellent']","['good', 'n', 'exellent']"
1773,Good aplication banking,positif,1,good aplication banking,good aplication banking,"['good', 'aplication', 'banking']","['good', 'aplication', 'banking']","['good', 'aplication', 'banking']"
1774,Kocak hapus aja masa iya passcode ga kekirim kekirim,negatif,-1,kocak hapus aja masa iya passcode ga kekirim kekirim,kocak hapus aja masa iya passcode ga kekirim kekirim,"['kocak', 'hapus', 'aja', 'masa', 'iya', 'passcode', 'ga', 'kekirim', 'kekirim']","['kocak', 'hapus', 'aja', 'iya', 'passcode', 'ga', 'kekirim', 'kekirim']","['kocak', 'hapus', 'aja', 'iya', 'passcode', 'ga', 'kirim', 'kirim']"
1775,Sering crash di hp oppo a92,negatif,-1,sering crash di hp oppo a92,sering crash di hp oppo a ,"['sering', 'crash', 'di', 'hp', 'oppo', 'a']","['crash', 'hp', 'oppo', 'a']","['crash', 'hp', 'oppo', 'a']"
1776,sangat bagus,positif,1,sangat bagus,sangat bagus,"['sangat', 'bagus']",['bagus'],['bagus']
1777,"Overall berdasarkan pengalaman pribadi, octo lebih baik daripada mobile banking bank lain dari segi fitur, keamanan, dan masih bisa berjalan mulus walaupun dengan jaringan yg kurang stabil, tetap pertahankan",positif,1,"overall berdasarkan pengalaman pribadi, octo lebih baik daripada mobile banking bank lain dari segi fitur, keamanan, dan masih bisa berjalan mulus walaupun dengan jaringan yg kurang stabil, tetap pertahankan",overall berdasarkan pengalaman pribadi  octo lebih baik daripada mobile banking bank lain dari segi fitur  keamanan  dan masih bisa berjalan mulus walaupun dengan jaringan yg kurang stabil  tetap pertahankan,"['overall', 'berdasarkan', 'pengalaman', 'pribadi', 'octo', 'lebih', 'baik', 'daripada', 'mobile', 'banking', 'bank', 'lain', 'dari', 'segi', 'fitur', 'keamanan', 'dan', 'masih', 'bisa', 'berjalan', 'mulus', 'walaupun', 'dengan', 'jaringan', 'yg', 'kurang', 'stabil', 'tetap', 'pertahankan']","['overall', 'berdasarkan', 'pengalaman', 'pribadi', 'octo', 'mobile', 'banking', 'bank', 'segi', 'fitur', 'keamanan', 'berjalan', 'mulus', 'jaringan', 'yg', 'stabil', 'pertahankan']","['overall', 'dasar', 'alam', 'pribadi', 'octo', 'mobile', 'banking', 'bank', 'segi', 'fitur', 'aman', 'jalan', 'mulus', 'jaring', 'yg', 'stabil', 'tahan']"
1778,Tranfer bi fast saldo kepotong tapi ga sampai di rek tujuannn,negatif,-1,tranfer bi fast saldo kepotong tapi ga sampai di rek tujuannn,tranfer bi fast saldo kepotong tapi ga sampai di rek tujuannn,"['tranfer', 'bi', 'fast', 'saldo', 'kepotong', 'tapi', 'ga', 'sampai', 'di', 'rek', 'tujuannn']","['tranfer', 'bi', 'fast', 'saldo', 'kepotong', 'ga', 'rek', 'tujuannn']","['tranfer', 'bi', 'fast', 'saldo', 'potong', 'ga', 'rek', 'tujuannn']"
1779,Ok...sangat recommended,positif,1,ok...sangat recommended,ok sangat recommended,"['ok', 'sangat', 'recommended']","['ok', 'recommended']","['ok', 'recommended']"
1780,Aplikasi gajelas. Beda sama m banking lain. Eror mlu setiap hari. Gapernah ada perubahan,negatif,-1,aplikasi gajelas. beda sama m banking lain. eror mlu setiap hari. gapernah ada perubahan,aplikasi gajelas  beda sama m banking lain  eror mlu setiap hari  gapernah ada perubahan,"['aplikasi', 'gajelas', 'beda', 'sama', 'm', 'banking', 'lain', 'eror', 'mlu', 'setiap', 'hari', 'gapernah', 'ada', 'perubahan']","['aplikasi', 'gajelas', 'beda', 'm', 'banking', 'eror', 'mlu', 'gapernah', 'perubahan']","['aplikasi', 'gajelas', 'beda', 'm', 'banking', 'eror', 'mlu', 'gapernah', 'ubah']"
1781,"Costumer service tidak bisa membantu sama sekali, kecewa",negatif,-1,"costumer service tidak bisa membantu sama sekali, kecewa",costumer service tidak bisa membantu sama sekali  kecewa,"['costumer', 'service', 'tidak', 'bisa', 'membantu', 'sama', 'sekali', 'kecewa']","['costumer', 'service', 'membantu', 'kecewa']","['costumer', 'service', 'bantu', 'kecewa']"
1782,Ok bangetzzz...,positif,1,ok bangetzzz...,ok bangetzzz ,"['ok', 'bangetzzz']","['ok', 'bangetzzz']","['ok', 'bangetzzz']"
1783,Cs bAgus,positif,1,cs bagus,cs bagus,"['cs', 'bagus']","['cs', 'bagus']","['cs', 'bagus']"
1784,"Sangat memudahkan untuk pembayaran, walaupun masih agak bingung untuk pemilihan menunya.",positif,1,"sangat memudahkan untuk pembayaran, walaupun masih agak bingung untuk pemilihan menunya.",sangat memudahkan untuk pembayaran  walaupun masih agak bingung untuk pemilihan menunya ,"['sangat', 'memudahkan', 'untuk', 'pembayaran', 'walaupun', 'masih', 'agak', 'bingung', 'untuk', 'pemilihan', 'menunya']","['memudahkan', 'pembayaran', 'bingung', 'pemilihan', 'menunya']","['mudah', 'bayar', 'bingung', 'pilih', 'menu']"
1785,Tolong perbaiki lah gk bisa login ini keluar mulu,negatif,-1,tolong perbaiki lah gk bisa login ini keluar mulu,tolong perbaiki lah gk bisa login ini keluar mulu,"['tolong', 'perbaiki', 'lah', 'gk', 'bisa', 'login', 'ini', 'keluar', 'mulu']","['tolong', 'perbaiki', 'gk', 'login', 'mulu']","['tolong', 'baik', 'gk', 'login', 'mulu']"
